Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.12393,0.079127,0.16354,0,0,0,8.5361,0.075016,-4.1116E-05,4.9153E-05,0.044438,0.0015065,0.045826,0,0,0,0,0,0,package://Humanoid_SNC/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/base_link.STL,,Torso-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_link,0.003974,0.043583,-0.00096718,0,0,0,0.36882,0.00041608,2.9982E-05,4.3172E-05,0.00044428,-7.2969E-06,0.00058296,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_pitch_link.STL,,left_shoulder_pitch_link-1,Co_Arm_L_1,Axis_Arm_L_1,left_shoulder_pitch_joint,revolute,-0.12371,-0.044176,0.27893,1.5708,0,0,base_link,0,-1,0,27,2.618,3.142,-1.571,,,,,,,,
left_shoulder_roll_link,-0.014742,-0.00039943,-0.04945,0,0,0,0.28276,0.00035137,-1.5823E-07,4.7063E-05,0.00063106,-1.7414E-06,0.00038839,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_roll_link.STL,,left_shoulder_roll_link-1,Co_Arm_L_2,Axis_Arm_L_2,left_shoulder_roll_joint,revolute,0.00059641,0.0575,-0.00014515,0,0,0,left_shoulder_pitch_link,-0.97164,0,0.23647,27,2.618,0.035,-3.142,,,,,,,,
left_shoulder_yaw_link,-0.017731,0.0018537,-0.072704,0,0,0,0.36933,0.0010225,-1.1314E-05,-0.0001431,0.0007683,-6.406E-05,0.00046557,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_shoulder_yaw_link.STL,,left_shoulder_yaw_link-1,Co_Arm_L_3,Axis_Arm_L_3,left_shoulder_yaw_joint,revolute,-0.019509,-0.00063943,-0.080158,0,0,0,left_shoulder_roll_link,-0.23647,-0.0077506,-0.97161,12,1.047,0.785,-0.785,,,,,,,,
left_elbow_link,-0.0258644483752343,-0.00347059539255612,-0.0648762762428973,0,0,0,0.311327884604229,0.000841981795577084,2.30807278291894E-05,-0.000156061207237154,0.000561356952932996,4.55901243642941E-05,0.000515557146621809,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/left_elbow_link.STL,,left_elbow_link-2,Co_Arm_L_4,Axis_Arm_L_4,left_elbow_joint,revolute,-0.028743,0.00059272,-0.1189,0,0,0,left_shoulder_yaw_link,0.015833,-0.99987,0.0041227,12,1.047,2.094,0,,,,,,,,
right_shoulder_pitch_link,0.0038265665058048,-0.0435825845919884,-0.00144414656551454,0,0,0,0.368820755997379,0.000429001164513733,-2.88695013830394E-05,6.20706309976915E-05,0.000444284172622102,1.08953525849315E-05,0.000570044741271703,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_pitch_link.STL,,right_shoulder_pitch_link-1,Co_Arm_R_1,Axis_Arm_R_1,right_shoulder_pitch_joint,revolute,-0.12371,-0.044176,0.067927,1.5708,0,0,base_link,0,1,0,27,2.618,-3.142,1.571,,,,,,,,
right_shoulder_roll_link,-0.0206467807565606,-0.00179855588595235,-0.0472576198547912,0,0,0,0.282761864981914,0.000363322400537142,-1.66091740576137E-06,5.02136074767723E-05,0.000630804985141833,-7.69172258566971E-06,0.000376699959343884,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_roll_link.STL,,right_shoulder_roll_link-1,Co_Arm_R_2,Axis_Arm_R_2,right_shoulder_roll_joint,revolute,0.00057429,-0.0575,-0.00021674,0,0,0,right_shoulder_pitch_link,-0.93559,0,0.35309,27,2.618,-0.035,3.142,,,,,,,,
right_shoulder_yaw_link,-0.0264365765744641,-0.00504258764027292,-0.0698527564857494,0,0,0,0.369329745550015,0.000979648941322469,1.01429855386358E-05,-0.000206872728424141,0.000773391904555861,4.99181029279823E-05,0.000503332363561839,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_shoulder_yaw_link.STL,,right_shoulder_yaw_link-1,Co_Arm_R_3,Axis_Arm_R_3,right_shoulder_yaw_joint,revolute,-0.029112,-0.0028792,-0.077139,0,0,0,right_shoulder_roll_link,-0.35288,-0.034899,-0.93502,12,1.047,0.785,-0.785,,,,,,,,
right_elbow_link,0.00207839352705602,-0.00022154996346029,-0.0698969036312599,0,0,0,0.31132788460423,0.000904234238276475,-2.88636469302034E-06,1.25319390053086E-05,0.000555687161746916,-5.64383559718751E-05,0.000458974495108507,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/right_elbow_link.STL,,right_elbow_link-2,Co_Arm_R_4,Axis_Arm_R_4,right_elbow_joint,revolute,-0.043752,-0.0057922,-0.11419,0,0,0,right_shoulder_yaw_link,0.014345,0.99898,-0.042701,12,1.047,-2.094,0,,,,,,,,
Pelvis_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Humanoid_SNC/meshes/Pelvis_link.STL,1,1,1,1,0,0,0,0,0,0,package://Humanoid_SNC/meshes/Pelvis_link.STL,,Pelvis-1,Co_Torso_1,Axis_Torso_1,Pelvis_joint,revolute,-0.12371,0.29132,0.17343,1.5708,0,0,base_link,0,0,1,0,0,1.047,-1.047,,,,,,,,
