Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.00451351844660614,3.49397882576374E-05,-0.0505832737783778,0,0,0,0.146094181145934,0.000527133338012684,-5.7182775803531E-10,1.0267652130134E-09,0.000280813720715968,-2.40714320930441E-09,0.000501696860364289,0,0,0,0,0,0,package://Humanoid_10102025/meshes/pelvis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/pelvis.STL,,pelvis_link-2,Co_Torso_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,0.00353821511470359,0.0381145763511223,0.00248401780073414,0,0,0,0.0733845351080622,7.25731290937552E-05,1.52067785846671E-06,-1.21274784098264E-06,8.0109388767526E-05,7.22075469462909E-06,7.3890037800569E-05,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_pitch_link.STL,,left_hip_pitch_link-2,Co_Leg_L_1,Axis_Leg_L_1,left_hip_pitch_joint,revolute,0,0.0755,-0.051,0,0,0,pelvis,0,1,0,25,20,-3.142,3.142,,,,,,,,
left_hip_roll_link,-0.0395100926223796,0.00807225851926097,-0.0622326065009896,0,0,0,0.0730084569713677,0.000148521477965441,3.84047121569046E-07,-1.6828258511077E-06,0.000188109536862281,1.4484832134519E-05,0.000138645629210528,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_roll_link.STL,,left_hip_roll_link-2,Co_Leg_L_2,Axis_Leg_L_2,left_hip_roll_joint,revolute,0.04125,0.057,-0.002,0,0,0,left_hip_pitch_link,-1,0,0,25,20,-3.142,3.142,,,,,,,,
left_hip_yaw_link,0.00323734601389108,0.000504388249888243,-0.0840183413295266,0,0,0,0.112301244772748,0.000427399069154762,4.18061151230187E-07,-2.81009932477372E-05,0.000382037328558326,2.59578679087588E-06,0.000250216704433018,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_hip_yaw_link.STL,,left_hip_yaw_link-2,Co_Leg_L_3,Axis_Leg_L_3,left_hip_yaw_joint,revolute,-0.04025,0.002,-0.117,0,0,0,left_hip_roll_link,0,0,-1,27,20,-3.142,3.142,,,,,,,,
left_knee_link,0.0169317039595682,-0.0422916371637707,-0.153232980640888,0,0,0,0.221219151146701,0.000440650525550483,1.65047903262176E-08,7.06940084591096E-06,0.000392717249620141,2.50382405873687E-06,0.000165668911779834,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_knee_link.STL,,left_knee_link-2,Co_Leg_L_4,Axis_Leg_L_4,left_knee_joint,revolute,-0.003,0.04225,-0.175,0,0,0,left_hip_yaw_link,0,-1,0,25,20,-3.142,3.142,,,,,,,,
left_ankle_pitch_link,8.76170518582242E-07,3.07806137772593E-07,-1.11022302462516E-16,0,0,0,0.0149918496318668,2.66043345029865E-06,1.94808730673056E-10,6.13481012606774E-23,1.69585008355649E-06,-7.54413111601179E-21,3.91920070470627E-06,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_ankle_pitch_link.STL,,left_ankle_pitch_link-2,Co_Leg_L_5,Axis_Leg_L_5,left_ankle_pitch_joint,revolute,0.01,-0.04325,-0.316,0,0,0,left_knee_link,0,-1,0,12,20,-3.142,3.142,,,,,,,,
left_ankle_roll_link,-0.030905148813183,6.0004499535804E-08,-0.0325553402626875,0,0,0,0.157209995957821,8.63291977075519E-05,-2.22815555043752E-18,-3.62383729367479E-19,0.000272011953604552,2.09481515291549E-10,0.00033849891438192,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link-2,Co_Leg_L_6,Axis_Leg_L_6,left_ankle_roll_joint,revolute,0.0415,0,-0.004,0,0,0,left_ankle_pitch_link,-1,0,0,12,20,-3.142,3.142,,,,,,,,
right_hip_pitch_link,0.00357229734091197,-0.0383654072817219,0.00249375906574863,0,0,0,0.0730392913697898,7.25707791038438E-05,-1.52194710684837E-06,-1.21496181242546E-06,8.01095767744373E-05,-7.21993059331388E-06,7.38888567078496E-05,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_pitch_link.STL,,right_hip_pitch_link-1,Co_Leg_R_1,Axis_Leg_R_1,right_hip_pitch_joint,revolute,0,-0.0755,-0.051,0,0,0,pelvis,0,-1,0,25,20,-3.142,3.142,,,,,,,,
right_hip_roll_link,-0.0394509631038634,-0.00804930714926962,-0.0622201671911723,0,0,0,0.0732444796987601,0.000148523886565936,-3.84047219766343E-07,-1.68283834955775E-06,0.000188112977614458,-1.44851029596935E-05,0.000138647074833882,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_roll_link.STL,,right_hip_roll_link-1,Co_Leg_R_2,Axis_Leg_R_2,right_hip_roll_joint,revolute,0.04125,-0.057,-0.002,0,0,0,right_hip_pitch_link,-1,0,0,25,20,-3.142,3.142,,,,,,,,
right_hip_yaw_link,0.00322433684713663,-0.000512973055045482,-0.0840324879873449,0,0,0,0.112410303427497,0.000427399943151867,-4.18067287453026E-07,-2.81007430573327E-05,0.000382037809368935,-2.59567176100242E-06,0.000250217406801108,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Humanoid_10102025/meshes/right_hip_yaw_link.STL,,right_hip_yaw_link-1,Co_Leg_R_3,Axis_Leg_R_3,right_hip_yaw_joint,revolute,-0.04025,-0.002,-0.117,0,0,0,right_hip_roll_link,0,0,-1,27,20,-3.142,3.142,,,,,,,,
